공간정보일련번호,해수욕장명,경도,위도,공간정보
1,광암,128.500828,35.102367,POINT (1091214.9117334879 1679038.3893964232)
2,수기,126.43147,37.544541,POINT (905607.2614807327 1950004.2358905312)
3,왕산,126.369236,37.455571,POINT (899990.79040217 1940197.4744357152)
4,을왕리,126.372519,37.447293,POINT (900270.1702976037 1939275.5715771236)
5,하나개,126.409295,37.385691,POINT (903444.1857850974 1932402.7594514487)
6,금장,127.163005,34.434171,POINT (969038.4029079211 1604534.1695143855)
7,나로우주,127.469146,34.467425,POINT (997166.4013272439 1608170.5233207974)
8,남열해돋이,127.487205,34.580486,POINT (998826.5075101011 1620707.2189381847)
9,대전,127.272262,34.713732,POINT (979146.3956468626 1635506.3623455996)
10,덕흥,127.458821,34.527449,POINT (996220.8735239774 1614826.7443693788)
11,발포,127.356183,34.491591,POINT (986795.8020945906 1610859.1640043966)
12,연소,127.116389,34.447612,POINT (964761.1546273653 1606039.8300388975)
13,염포,127.492197,34.432476,POINT (999283.0822018209 1604294.758494022)
14,용동,127.18113,34.631135,POINT (970772.5592783476 1626369.7811247604)
15,익금,127.145644,34.429932,POINT (967441.7006931154 1604069.5627918947)
16,풍류,127.22952,34.66417,POINT (975217.8035057129 1630020.0753234723)
17,외달도,126.29719,34.781866,POINT (889948.2718210476 1643697.269620965)
18,톱머리,126.386218,34.968184,POINT (898324.0098344317 1664266.2087824238)
19,홀통,126.337543,35.062311,POINT (894001.8575730476 1674755.8973652322)
20,율포솔밭,127.089731,34.669997,POINT (962412.4792826638 1630709.5144991959)
21,대광,126.073771,35.10421,POINT (870014.8749010632 1679715.1026722498)
22,돈목,125.827824,34.608916,POINT (846680.9516605146 1625130.6545691888)
23,배낭기미,125.426538,34.689068,POINT (810065.5079914972 1634704.1876670215)
24,백길,126.039477,34.849472,POINT (866476.1927563363 1651507.8535700636)
25,분계,125.982168,34.870525,POINT (861271.83660631 1653920.6210158416)
26,시목,125.953942,34.672599,POINT (858353.9042289407 1632008.8390608002)
27,신도,125.973588,34.588205,POINT (860012.2422347703 1622621.7854069972)
28,우전,126.136643,34.971371,POINT (875544.0396383273 1664901.998906294)
29,원평,125.921914,34.776015,POINT (855599.3071234816 1643523.8253608053)
30,짱뚱어,126.133925,34.990149,POINT (875324.3794143434 1666987.993857855)
31,추포,126.066763,34.80533,POINT (868900.9616637693 1646576.2692271506)
32,하트,125.894686,34.751349,POINT (853063.901714228 1640827.678919534)
33,홍도,125.190768,34.684973,POINT (788454.0012604867 1634720.378826803)
34,거문도,127.304132,34.019991,POINT (981916.2398575873 1558574.8173587043)
35,만성리검은모래,127.745714,34.779548,POINT (1022481.8020954478 1642808.6984847407)
36,모사금,127.756146,34.796349,POINT (1023431.5364286363 1644674.1914478561)
37,무술목,127.7764,34.683742,POINT (1025318.649822633 1632191.9004723066)
38,방죽포,127.793569,34.63074,POINT (1026908.4855998805 1626318.9358744856)
39,안도,127.812786,34.49052,POINT (1028718.0715703174 1610775.4088054723)
40,웅천,127.667997,34.746917,POINT (1015377.0628047936 1639175.5363596985)
41,장등,127.610383,34.644931,POINT (1010115.9506300753 1627858.9339950008)
42,가마미,126.408538,35.398868,POINT (900886.0193169755 1712009.3368196022)
43,송이도,126.151163,35.274306,POINT (877324.7499893011 1698482.2085645017)
44,금일명사십리,127.061123,34.333063,POINT (959629.3814075895 1593358.5307517834)
45,보길중리은모래,126.589975,34.162933,POINT (916120.6432427838 1574780.96558668)
46,보길통리,126.578581,34.1575,POINT (915064.9547012809 1574187.9472114171)
47,생일금곡,126.963556,34.312041,POINT (950642.1720132771 1591070.5769047572)
48,신지동고,126.880006,34.329046,POINT (942966.1983040911 1592999.9304926565)
49,신지명사십리,126.80883,34.326937,POINT (936416.9529527568 1592808.321858128)
50,약산가사동백숲,126.928077,34.370418,POINT (947414.1879652853 1597561.5808830585)
51,보길예송,126.562904,34.140457,POINT (913602.4721035629 1572311.2739120817)
52,청산신흥,126.907975,34.183581,POINT (945445.3067856046 1576854.7197195366)
53,청산지리청송,126.862054,34.196555,POINT (941222.657248507 1578318.8491740497)
54,안양수문,127.034933,34.635285,POINT (957374.2607382121 1626882.0764286276)
55,가계,126.355389,34.435569,POINT (894837.6767074926 1605231.7419442064)
56,관매도,126.050277,34.240391,POINT (866494.2606222819 1583946.0277205182)
57,금갑,126.277775,34.395502,POINT (887652.8510670966 1600871.8256954062)
58,신전,126.073318,34.283968,POINT (868684.0395657334 1588748.5416082477)
59,돌머리,126.440576,35.086757,POINT (903426.0728787732 1677362.392386824)
60,땅끝송호,126.518598,34.315187,POINT (909704.1360385062 1591725.1490354803)
61,사구미,126.580856,34.32046,POINT (915437.7839671741 1592256.3020530888)
62,송평,126.471201,34.435597,POINT (905478.4950043913 1605120.7084420708)
63,구시포,126.435585,35.445761,POINT (903398.2180783679 1717183.481927096)
64,동호,126.483121,35.517586,POINT (907794.6097029974 1725104.201053471)
65,선유도,126.412209,35.819589,POINT (901735.2923080847 1758669.4655511163)
66,격포,126.470079,35.628952,POINT (906741.1657418455 1737468.3637017205)
67,고사포,126.504752,35.660032,POINT (909915.7910293406 1740883.2268754756)
68,모항,126.507464,35.582377,POINT (910074.3660957103 1732267.7941099666)
69,변산,126.530026,35.67941,POINT (912224.7408428477 1743009.6366339175)
